path,type,format,size_bytes,poly_count,notes
Res/Audio/AA.wav,audio,wav,211088,n/a,
Res/Audio/Ambient/AudioClip_Background-Ambient.wav,audio,wav,34560044,n/a,
Res/Audio/Ambient/at-the-park-afternoon- XtremeFreddy.wav,audio,wav,18869804,n/a,
Res/Audio/AudioClip_Purchase-Cha-Ching.wav,audio,wav,177136,n/a,
Res/Audio/BackCancelSound.wav,audio,wav,61796,n/a,
Res/Audio/Click.wav,audio,wav,41770,n/a,
Res/Audio/Launch.wav,audio,wav,54896,n/a,
Res/Audio/Music/AudioClip_Fanfares_Defeat.wav,audio,wav,1443320,n/a,
Res/Audio/Music/AudioClip_Fanfares_Victory.wav,audio,wav,1015008,n/a,
Res/Audio/Music/AudioClip_Music_Darkling.wav,audio,wav,29945320,n/a,
Res/Audio/Music/AudioClip_Music_MorganaRides.wav,audio,wav,43442152,n/a,
Res/Audio/SFX/AudioClip_Click-Medium.wav,audio,wav,57628,n/a,
Res/Audio/SFX/AudioClip_Click-Soft.wav,audio,wav,33988,n/a,
Res/Audio/SFX/AudioClip_Click-Springy.wav,audio,wav,61000,n/a,
Res/Audio/SFX/AudioClip_Click-Switch.wav,audio,wav,95736,n/a,
Res/Audio/SFX/AudioClip_Click-Tap.wav,audio,wav,65292,n/a,
Res/Audio/SFX/AudioClip_Error.wav,audio,wav,26200,n/a,
Res/Audio/SFX/AudioClip_PotionDrop.wav,audio,wav,1230758,n/a,
Res/Audio/gameplay/AudioClip_generic-gethit.wav,audio,wav,52016,n/a,
Res/CharacterEntity.prefab,other,prefab,115166,n/a,
Res/CharacterFace/Eyes/Eye1/Eye1BG.png,texture,png,9284,n/a,
Res/CharacterFace/Eyes/Eye1/Eye1Full.png,texture,png,12396,n/a,
Res/CharacterFace/Eyes/Eye1/Eye1Iris.png,texture,png,3035,n/a,
Res/CharacterFace/Eyes/Eye1/Materials/ClosedL.mat,other,mat,16748,n/a,
Res/CharacterFace/Eyes/Eye1/Materials/ClosedR.mat,other,mat,16751,n/a,
Res/CharacterFace/Eyes/Eye1/Materials/Eye1IFull.mat,other,mat,16683,n/a,
Res/CharacterFace/Eyes/Eye1/Materials/Eye1Iris.mat,other,mat,16801,n/a,
Res/CharacterFace/Eyes/Eye1/Materials/EyeL.mat,other,mat,16701,n/a,
Res/CharacterFace/Eyes/Eye1/Materials/EyeR 1.mat,other,mat,16817,n/a,
Res/CharacterFace/Eyes/Eye1/Materials/EyeR 2.mat,other,mat,16814,n/a,
Res/CharacterFace/Eyes/Eye1/Materials/EyeR.mat,other,mat,16797,n/a,
Res/CharacterFace/Eyes/Eye2/Eye2.png,texture,png,6991,n/a,
Res/CharacterFace/Eyes/Eye2/F_EyeL 1.mat,other,mat,16704,n/a,
Res/CharacterFace/Eyes/Eye2/F_EyeL 2.mat,other,mat,16704,n/a,
Res/CharacterFace/Eyes/Eye2/FemaleEye1.png,texture,png,14951,n/a,
Res/CharacterFace/Mouths/Mouth1/Material/DefaultMouth 1.mat,other,mat,14342,n/a,
Res/CharacterFace/Mouths/Mouth1/Material/DefaultMouth.mat,other,mat,14292,n/a,
Res/CharacterFace/Mouths/Mouth1/Material/Mouth1.mat,other,mat,14285,n/a,
Res/CharacterFace/Mouths/Mouth1/Mouth1.png,texture,png,7079,n/a,
Res/CharacterFace/Mouths/Mouth1/Mouth2.png,texture,png,2624,n/a,
Res/CharacterFace/Mouths/Mouth1/Mouth3.png,texture,png,4152,n/a,
Res/CharacterFace/Noses/Nose1/Materials/Nose1Material.mat,other,mat,14320,n/a,
Res/CharacterFace/Noses/Nose1/Nose1.png,texture,png,12341,n/a,
Res/CharacterFace/Noses/Nose2/Nose2.png,texture,png,18165,n/a,
Res/CharacterFace/Noses/Nose2/Nose2Material.mat,other,mat,14337,n/a,
Res/Drops/CollectExp.prefab,other,prefab,6945,n/a,
Res/Drops/EXPDrop.prefab,other,prefab,5357,n/a,
Res/Drops/GoldDrop.prefab,other,prefab,5307,n/a,
Res/Drops/HealthDrop.prefab,other,prefab,8714,n/a,
Res/Drops/ShieldDrop.prefab,other,prefab,6970,n/a,
Res/Effects/DaggerEffect/AdditiveScroll.shadergraph,other,shadergraph,136674,n/a,
Res/Effects/DaggerEffect/Materials/Dag1.mat,other,mat,5726,n/a,
Res/Effects/DaggerEffect/Materials/DagFire.mat,other,mat,3751,n/a,
Res/Effects/DaggerEffect/Mesh/BulletMesh 1.fbx,mesh,fbx,20220,n/a,
Res/Effects/DaggerEffect/Mesh/BulletMesh 1.prefab,other,prefab,2543,n/a,
Res/Effects/DaggerEffect/Mesh/Cone.fbx,mesh,fbx,19324,n/a,
Res/Effects/DaggerEffect/Mesh/Cone.prefab,other,prefab,2294,n/a,
Res/Effects/DaggerEffect/Mesh/Materials/Material.001.mat,other,mat,3659,n/a,
Res/Effects/DaggerEffect/Texture/FireLine.png,texture,png,891116,n/a,vfx-texture
Res/Effects/DaggerEffect/Texture/NoiseDag.png,texture,png,287022,n/a,vfx-texture
Res/Effects/DaggerEffect/Texture/NoiseDag2.png,texture,png,378068,n/a,vfx-texture
Res/Effects/Dash/DashEffect.prefab,other,prefab,3739,n/a,
Res/Effects/Dash/Materials/Dash.mat,other,mat,2323,n/a,
Res/Effects/Dash/Textures/dash.PNG,texture,png,265604,n/a,vfx-texture
Res/Effects/EmissiveUnlitMat/EmissiveUnlitMat.mat,other,mat,4299,n/a,
Res/Effects/Gradients/Gradient.PNG,texture,png,46343,n/a,vfx-texture
Res/Effects/Gradients/GradientCenter.PNG,texture,png,37967,n/a,vfx-texture
Res/Effects/Gradients/GradientCenter2.PNG,texture,png,168936,n/a,vfx-texture
Res/Effects/Gradients/GradientCenter3.png,texture,png,278222,n/a,vfx-texture
Res/Effects/Gradients/Gradient_greyscale.PNG,texture,png,3056,n/a,vfx-texture
Res/Effects/Gradients/Vignette2.png,texture,png,6381,n/a,vfx-texture
Res/Effects/Poisons/Materials/EffectsPoison 1.mat,other,mat,5055,n/a,
Res/Effects/Poisons/Materials/EffectsPoison.mat,other,mat,5008,n/a,
Res/Effects/Shiny/Materials/BlackEffect.mat,other,mat,5011,n/a,
Res/Effects/Shiny/Materials/FireEffect.mat,other,mat,5024,n/a,
Res/Effects/Shiny/Materials/Square.mat,other,mat,3918,n/a,
Res/Effects/Shiny/Materials/TrailLine.mat,other,mat,3598,n/a,
Res/Effects/Shiny/Shiny.prefab,other,prefab,122635,n/a,
Res/Effects/Shiny/Textures/EffectIcon.PNG,texture,png,6663147,n/a,vfx-texture
Res/Effects/Shiny/Textures/Square.PNG,texture,png,21404,n/a,vfx-texture
Res/Effects/SimpleTrail/Materials/M_Trail.mat,other,mat,3170,n/a,
Res/Effects/SimpleTrail/Prefabs/Trail.prefab,other,prefab,4183,n/a,
Res/Effects/SimpleTrail/Textures/T_Trail_finger.png,texture,png,3472,n/a,vfx-texture
Res/Effects/Swirl/Materials/Swirl.mat,other,mat,3643,n/a,
Res/Effects/Swirl/Swirl.prefab,other,prefab,118905,n/a,
Res/Effects/Swirl/SwirlEffect.prefab,other,prefab,4278,n/a,
Res/Effects/Swirl/SwirlEffect.shadergraph,other,shadergraph,40099,n/a,
Res/Effects/Swirl/Textures/Swirl01.png,texture,png,203989,n/a,vfx-texture
Res/Effects/Sword/Materials/EffectIconDark.mat,other,mat,5113,n/a,
Res/FX/Aura/Materials/Glow_Mat.mat,other,mat,3164,n/a,
Res/FX/Aura/Prefabs/Aura.prefab,other,prefab,234826,n/a,
Res/FX/Aura/Textures/GlowStreaks.png,texture,png,212690,n/a,vfx-texture
Res/FX/CoinGemMagnet/Prefabs/P_VFX_ForceField.prefab,other,prefab,13075,n/a,
Res/FX/CoinGemMagnet/Prefabs/P_VFX_GemMagnetFX Variant.prefab,other,prefab,17767,n/a,
Res/FX/CoinGemMagnet/Prefabs/P_VFX_GoldMagnetFX.prefab,other,prefab,119474,n/a,
Res/FX/FrameFire/Frame FX.prefab,other,prefab,825009,n/a,
Res/FX/GlowEffect/GlowItem_1.prefab,other,prefab,117052,n/a,
Res/FX/GlowEffect/GlowItem_2.prefab,other,prefab,117052,n/a,
Res/FX/GlowEffect/GlowParticleMat 1.mat,other,mat,3729,n/a,
Res/FX/GlowEffect/GlowParticleMat.mat,other,mat,3727,n/a,
Res/FX/HitEffect/Materials/Mat_HitEffect_VFX_AlphaThreshold.mat,other,mat,2492,n/a,
Res/FX/HitEffect/Materials/Mat_HitEffect_VFX_PunchTrail.mat,other,mat,1118,n/a,
Res/FX/HitEffect/Materials/Mat_HitEffect_VFX_SmallDrop.mat,other,mat,1242,n/a,
Res/FX/HitEffect/Prefabs/Fire_HitEffect.prefab,other,prefab,313512,n/a,
Res/FX/HitEffect/Prefabs/Grass_HitEffect.prefab,other,prefab,316286,n/a,
Res/FX/HitEffect/Prefabs/Water_HitEffect.prefab,other,prefab,316286,n/a,
Res/FX/HitEffect/Sprites/Sprite_HitEffect.png,texture,png,29832,n/a,vfx-texture
Res/FX/HitEffect/Sprites/Sprite_PunchTrail.png,texture,png,1954,n/a,vfx-texture
Res/FX/HitEffect/Sprites/Sprite_Triangle.png,texture,png,2683,n/a,vfx-texture
Res/FX/LevelUp/Materials/VerticalRay_Mat 1.mat,other,mat,3226,n/a,
Res/FX/LevelUp/Materials/VerticalRay_Mat.mat,other,mat,3239,n/a,
Res/FX/LevelUp/Materials/VerticalSteaks_Mat.mat,other,mat,3148,n/a,
Res/FX/LevelUp/Prefabs/Swirls.prefab,other,prefab,117283,n/a,
Res/FX/LevelUp/Prefabs/VerticalRays.prefab,other,prefab,115991,n/a,
Res/FX/LevelUp/Textures/Ramp01.png,texture,png,241,n/a,vfx-texture
Res/FX/LevelUp/Textures/VerticalRay.png,texture,png,295345,n/a,vfx-texture
Res/FX/LevelUp/Textures/VerticalRaySmall.png,texture,png,2306,n/a,vfx-texture
Res/FX/Sparkles/Materials/Sparkle_Mat.mat,other,mat,2934,n/a,
Res/FX/Sparkles/Prefabs/Sparkles.prefab,other,prefab,117649,n/a,
Res/FX/Sparkles/Sparkle.psd,texture,psd,403912,n/a,vfx-texture
Res/FX/Sparkles/Textures/Sparkles.png,texture,png,18901,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/ExplosionSpriteSheet.png,texture,png,150101,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/HitEffect2x2.png,texture,png,58748,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/HollowCircle.png,texture,png,582542,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/LensFlareBlur.png,texture,png,33315,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/MultiCirlceHue.png,texture,png,4367,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/Ring.png,texture,png,12220,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/Ring2x2.png,texture,png,58063,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/RingHit.png,texture,png,375003,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/Spark.png,texture,png,30274,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Art/SparkHit1.png,texture,png,131057,n/a,vfx-texture
Res/FX/VFX/HitFolder2/Materials/DissolveMaterials/DissolveAdd.mat,other,mat,1745,n/a,
Res/FX/VFX/HitFolder2/Materials/DissolveMaterials/DissolveAlpha.mat,other,mat,1747,n/a,
Res/FX/VFX/HitFolder2/Materials/PlaneMaterial.mat,other,mat,3745,n/a,
Res/FX/VFX/HitFolder2/Materials/Regular/RegularAdd.mat,other,mat,1710,n/a,
Res/FX/VFX/HitFolder2/Materials/Regular/RegularAddClear.mat,other,mat,1659,n/a,
Res/FX/VFX/HitFolder2/Materials/Regular/RegularAddHit 0.mat,other,mat,1715,n/a,
Res/FX/VFX/HitFolder2/Materials/Regular/RegularAddHit1.mat,other,mat,1712,n/a,
Res/FX/VFX/HitFolder2/Materials/Regular/RegularAddHit2.mat,other,mat,1713,n/a,
Res/FX/VFX/HitFolder2/Materials/Regular/RegularAddHit3.mat,other,mat,1713,n/a,
Res/FX/VFX/HitFolder2/Materials/Skybox/Skybox 2.mat,other,mat,4234,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_AnimatedHit1.prefab,other,prefab,235650,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_DissolveEffect1.prefab,other,prefab,117666,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_DissolveEffect2.prefab,other,prefab,235327,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_Explosion1.prefab,other,prefab,117339,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_Explosion2.prefab,other,prefab,236441,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect1.prefab,other,prefab,117728,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect10.prefab,other,prefab,355917,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect2.prefab,other,prefab,235406,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect3.prefab,other,prefab,117729,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect4.prefab,other,prefab,235409,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect5.prefab,other,prefab,235293,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect6.prefab,other,prefab,237785,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect7.prefab,other,prefab,235740,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect8.prefab,other,prefab,117700,n/a,
Res/FX/VFX/HitFolder2/Prefabs/vfx_HitEffect9.prefab,other,prefab,353288,n/a,
Res/FX/VFX/HitFolder2/Shadergraph/Dissolve/DissolveAdd.shadergraph,other,shadergraph,44987,n/a,
Res/FX/VFX/HitFolder2/Shadergraph/Dissolve/DissolveAlpha.shadergraph,other,shadergraph,45061,n/a,
Res/FX/VFX/HitFolder2/Shadergraph/Regular/RegularAdd.shadergraph,other,shadergraph,44100,n/a,
Res/FX/VFX/Orbital spheres/FireOrbital.prefab,other,prefab,470333,n/a,
Res/FX/VFX/Orbital spheres/GrassOrbital.prefab,other,prefab,470354,n/a,
Res/FX/VFX/Orbital spheres/IceOrbital.prefab,other,prefab,470778,n/a,
Res/FX/VFX/Orbital spheres/Materials/Snow Dots.mat,other,mat,4269,n/a,
Res/FX/VFX/Orbital spheres/Materials/Snow smoke.mat,other,mat,3157,n/a,
Res/FX/VFX/Orbital spheres/Materials/SnowTrail.mat,other,mat,4049,n/a,
Res/FX/VFX/Orbital spheres/Materials/Snowflake dots.mat,other,mat,2487,n/a,
Res/FX/VFX/Orbital spheres/Materials/Snowflake.mat,other,mat,2482,n/a,
Res/FX/VFX/Orbital spheres/Textures/Blur_Dot02.png,texture,png,2238145,n/a,vfx-texture
Res/FX/VFX/Orbital spheres/Textures/Smoke_Spritesheet01.png,texture,png,2314967,n/a,vfx-texture
Res/FX/VFX/Orbital spheres/Textures/Snow01.png,texture,png,61407,n/a,vfx-texture
Res/FX/VFX/Orbital spheres/Textures/Snowflake01.png,texture,png,1436559,n/a,vfx-texture
Res/FX/VFX/Orbital spheres/Textures/Trail06.png,texture,png,724199,n/a,vfx-texture
Res/FX/VFX/ToxicBubble/Material/BubbleMat.mat,other,mat,3222,n/a,
Res/FX/VFX/ToxicBubble/Material/eff_tex_fbmNoise1.png,texture,png,369170,n/a,vfx-texture
Res/FX/VFX/ToxicBubble/Material/eff_tex_glow03.png,texture,png,36799,n/a,vfx-texture
Res/FX/VFX/ToxicBubble/Material/embers.mat,other,mat,4063,n/a,
Res/FX/VFX/ToxicBubble/ToxicBubble.prefab,other,prefab,235899,n/a,
Res/FullHDMainMenu.renderTexture,other,rendertexture,861,n/a,
Res/GameData/BattlePassItems/PassItem 1.asset,other,asset,1411,n/a,
Res/GameData/BattlePassItems/PassItem 10.asset,other,asset,1582,n/a,
Res/GameData/BattlePassItems/PassItem 2.asset,other,asset,1475,n/a,
Res/GameData/BattlePassItems/PassItem 3.asset,other,asset,1475,n/a,
Res/GameData/BattlePassItems/PassItem 4.asset,other,asset,1503,n/a,
Res/GameData/BattlePassItems/PassItem 5.asset,other,asset,1560,n/a,
Res/GameData/BattlePassItems/PassItem 6.asset,other,asset,1475,n/a,
Res/GameData/BattlePassItems/PassItem 7.asset,other,asset,1418,n/a,
Res/GameData/BattlePassItems/PassItem 8.asset,other,asset,1605,n/a,
Res/GameData/BattlePassItems/PassItem 9.asset,other,asset,1543,n/a,
Res/GameData/CharacterData/character1.asset,other,asset,6545,n/a,
Res/GameData/CharacterData/character2.asset,other,asset,6774,n/a,
Res/GameData/CharacterData/character3.asset,other,asset,6896,n/a,
Res/GameData/CharacterData/character4.asset,other,asset,6906,n/a,
Res/GameData/CharacterData/character5Update.asset,other,asset,6805,n/a,
Res/GameData/CharacterData/character6Update.asset,other,asset,7246,n/a,
Res/GameData/CharacterData/character7.asset,other,asset,6126,n/a,
Res/GameData/Coupons/Coupon1.asset,other,asset,477,n/a,
Res/GameData/Coupons/Coupon2.asset,other,asset,479,n/a,
Res/GameData/Coupons/Coupon3.asset,other,asset,479,n/a,
Res/GameData/Currencies/Diamond.asset,other,asset,537,n/a,
Res/GameData/Currencies/Gold.asset,other,asset,702,n/a,
Res/GameData/Currencies/Stamine.asset,other,asset,708,n/a,
Res/GameData/Currencies/TicketName.asset,other,asset,714,n/a,
Res/GameData/Currencies/Upgrade.asset,other,asset,540,n/a,
Res/GameData/CurrenciesIAPItem/DiamongPack1.asset,other,asset,693,n/a,
Res/GameData/CurrenciesIAPItem/DiamongPack2.asset,other,asset,693,n/a,
Res/GameData/CurrenciesIAPItem/DiamongPack3.asset,other,asset,696,n/a,
Res/GameData/CurrenciesIAPItem/DiamongPack4.asset,other,asset,696,n/a,
Res/GameData/ElementalTypes/ElectricalType.asset,other,asset,944,n/a,
Res/GameData/ElementalTypes/FireType.asset,other,asset,932,n/a,
Res/GameData/ElementalTypes/FlyingType.asset,other,asset,936,n/a,
Res/GameData/ElementalTypes/GrassType.asset,other,asset,934,n/a,
Res/GameData/ElementalTypes/GroundType.asset,other,asset,864,n/a,
Res/GameData/ElementalTypes/MysticalType.asset,other,asset,868,n/a,
Res/GameData/ElementalTypes/PoisonType.asset,other,asset,936,n/a,
Res/GameData/ElementalTypes/SteelType.asset,other,asset,1006,n/a,
Res/GameData/ElementalTypes/WaterType.asset,other,asset,934,n/a,
Res/GameData/FrameData/Frame 1.asset,other,asset,527,n/a,
Res/GameData/FrameData/Frame 10.asset,other,asset,556,n/a,
Res/GameData/FrameData/Frame 11.asset,other,asset,556,n/a,
Res/GameData/FrameData/Frame 2.asset,other,asset,527,n/a,
Res/GameData/FrameData/Frame 3.asset,other,asset,553,n/a,
Res/GameData/FrameData/Frame 4.asset,other,asset,527,n/a,
Res/GameData/FrameData/Frame 5.asset,other,asset,553,n/a,
Res/GameData/FrameData/Frame 6.asset,other,asset,553,n/a,
Res/GameData/FrameData/Frame 7.asset,other,asset,553,n/a,
Res/GameData/FrameData/Frame 8.asset,other,asset,553,n/a,
Res/GameData/FrameData/Frame 9.asset,other,asset,553,n/a,
Res/GameData/IconData/IconData1.asset,other,asset,550,n/a,
Res/GameData/IconData/IconData2.asset,other,asset,550,n/a,
Res/GameData/IconData/IconData3.asset,other,asset,550,n/a,
Res/GameData/IconData/IconData4.asset,other,asset,550,n/a,
Res/GameData/IconData/IconData5.asset,other,asset,550,n/a,
Res/GameData/IconData/IconData6.asset,other,asset,550,n/a,
Res/GameData/IconData/IconData7.asset,other,asset,550,n/a,
Res/GameData/IconData/IconData8.asset,other,asset,550,n/a,
Res/GameData/MapInfo/Map 1.asset,other,asset,1216,n/a,
Res/GameData/MapInfo/Map 2.asset,other,asset,1269,n/a,
Res/GameData/MapInfo/Map 3.asset,other,asset,1199,n/a,
Res/GameData/MapInfo/Map 4.asset,other,asset,1210,n/a,
Res/GameData/MapInfo/Map_Event_1.asset,other,asset,1645,n/a,
Res/GameData/Quests/Quest1.asset,other,asset,1695,n/a,
Res/GameData/Quests/Quest2.asset,other,asset,1654,n/a,
Res/GameData/Quests/Quest3.asset,other,asset,1724,n/a,
Res/GameData/Quests/Quest4.asset,other,asset,1674,n/a,
Res/GameData/Quests/Quest5.asset,other,asset,1839,n/a,
Res/GameData/Quests/Quest6.asset,other,asset,1887,n/a,
Res/GameData/Quests/Quest7.asset,other,asset,1884,n/a,
Res/GameData/Quests/Quest8.asset,other,asset,1679,n/a,
Res/GameData/ShopData/ShopCharacter2.asset,other,asset,858,n/a,
Res/GameData/ShopData/ShopCharacter3.asset,other,asset,861,n/a,
Res/GameData/ShopData/ShopDataItems/Armor/ShopInventoryArmor 1.asset,other,asset,857,n/a,
Res/GameData/ShopData/ShopDataItems/Armor/ShopInventoryArmor 2.asset,other,asset,849,n/a,
Res/GameData/ShopData/ShopDataItems/Armor/ShopInventoryArmor 3.asset,other,asset,849,n/a,
Res/GameData/ShopData/ShopDataItems/Armor/ShopInventoryArmor 4.asset,other,asset,860,n/a,
Res/GameData/ShopData/ShopDataItems/Hat/ShopInventoryHead 1.asset,other,asset,858,n/a,
Res/GameData/ShopData/ShopDataItems/Hat/ShopInventoryHead 2.asset,other,asset,850,n/a,
Res/GameData/ShopData/ShopDataItems/Hat/ShopInventoryHead 3.asset,other,asset,850,n/a,
Res/GameData/ShopData/ShopDataItems/Hat/ShopInventoryHead 4.asset,other,asset,861,n/a,
Res/GameData/ShopData/ShopDataItems/Pants/ShopInventoryPants 1.asset,other,asset,857,n/a,
Res/GameData/ShopData/ShopDataItems/Pants/ShopInventoryPants 2.asset,other,asset,849,n/a,
Res/GameData/ShopData/ShopDataItems/Pants/ShopInventoryPants 3.asset,other,asset,849,n/a,
Res/GameData/ShopData/ShopDataItems/Pants/ShopInventoryPants 4.asset,other,asset,860,n/a,
Res/GameData/ShopData/ShopDataItems/Shoes/ShopInventoryShoes 1.asset,other,asset,857,n/a,
Res/GameData/ShopData/ShopDataItems/Shoes/ShopInventoryShoes 2.asset,other,asset,849,n/a,
Res/GameData/ShopData/ShopDataItems/Shoes/ShopInventoryShoes 3.asset,other,asset,849,n/a,
Res/GameData/ShopData/ShopDataItems/Shoes/ShopInventoryShoes 4.asset,other,asset,859,n/a,
Res/GameData/ShopData/ShopFrame1.asset,other,asset,842,n/a,
Res/GameData/ShopData/ShopFrame2.asset,other,asset,841,n/a,
Res/GameData/ShopData/ShopFrame3.asset,other,asset,841,n/a,
Res/GameData/ShopData/ShopFrame_4.asset,other,asset,842,n/a,
Res/GameData/ShopData/ShopFrame_5.asset,other,asset,842,n/a,
Res/GameData/ShopData/ShopFrame_6.asset,other,asset,842,n/a,
Res/GameData/ShopData/ShopFrame_7.asset,other,asset,842,n/a,
Res/GameData/ShopData/ShopFrame_8.asset,other,asset,866,n/a,
Res/GameData/ShopData/ShopGold1.asset,other,asset,804,n/a,
Res/GameData/ShopData/ShopGold2.asset,other,asset,793,n/a,
Res/GameData/ShopData/ShopGold3.asset,other,asset,790,n/a,
Res/GameData/ShopData/ShopIcon1.asset,other,asset,746,n/a,
Res/GameData/ShopData/ShopIcon2.asset,other,asset,747,n/a,
Res/GameData/ShopData/ShopIcon3.asset,other,asset,747,n/a,
Res/GameData/SkillsPeark/Burn Shot Perk.asset,other,asset,1882,n/a,
Res/GameData/SkillsPeark/Multi Shots Perk.asset,other,asset,1877,n/a,
Res/GameData/StatsPearks/CooldownRed.asset,other,asset,668,n/a,
Res/GameData/StatsPearks/CriticalRate.asset,other,asset,717,n/a,
Res/GameData/StatsPearks/Damage.asset,other,asset,712,n/a,
Res/GameData/StatsPearks/Defense.asset,other,asset,666,n/a,
Res/GameData/StatsPearks/HPRegen.asset,other,asset,709,n/a,
Res/GameData/StatsPearks/HpLeech.asset,other,asset,723,n/a,
Res/GameData/StatsPearks/MaxHPRate.asset,other,asset,710,n/a,
Res/GameData/StatsPearks/MoveSpeed.asset,other,asset,678,n/a,
Res/GameData/StatsPearks/attackSpeed.asset,other,asset,655,n/a,
Res/Indicators/Arrow Indicator 2.png,texture,png,784916,n/a,
Res/Indicators/Arrow Indicator.png,texture,png,14906,n/a,
Res/Indicators/Arrow Indicator2.png,texture,png,39099,n/a,
Res/Indicators/Cone Indicator.png,texture,png,96352,n/a,
Res/Indicators/Heal Indicator.png,texture,png,109383,n/a,
Res/Indicators/Range Indicator.png,texture,png,96448,n/a,
Res/Materials/FloorDG.mat,other,mat,4807,n/a,
Res/Materials/FloorDG.png,texture,png,47465,n/a,
Res/Materials/FloorsCheckerboard0055_9_350 1.mat,other,mat,17640,n/a,
Res/Materials/FloorsCheckerboard0055_9_350 2.mat,other,mat,17618,n/a,
Res/Materials/FloorsCheckerboard0055_9_350 3.mat,other,mat,17769,n/a,
Res/Materials/FloorsCheckerboard0055_9_350 4.mat,other,mat,17769,n/a,
Res/Materials/FloorsCheckerboard0055_9_350 5.mat,other,mat,17622,n/a,
Res/Materials/FloorsCheckerboard0055_9_350.mat,other,mat,17618,n/a,
Res/Materials/Wood.png,texture,png,34841,n/a,
Res/Materials/grass03.png,texture,png,721478,n/a,
Res/Minimap1.renderTexture,other,rendertexture,855,n/a,
Res/Monsters/MiniBossController.controller,animation,controller,8586,n/a,
Res/Monsters/MonsterBoss1.controller,animation,controller,8536,n/a,
Res/Monsters/MonsterController.controller,animation,controller,8580,n/a,
